"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.92701693334345,0.48,0.044,0,"0","Sds"
0,4.81363228183632,0.286,0.025,0,"0","Etnppl"
0,4.57285587428047,0.362,0.059,0,"0","Serpina1e"
0,4.45288072923394,0.523,0.063,0,"0","Hal"
0,4.24562449626812,0.37,0.043,0,"0","Gls2"
0,4.10695271770698,0.854,0.087,0,"1","Lyve1"
0,3.89017355425204,0.266,0.01,0,"1","Gm46565"
0,3.87745047097436,0.938,0.064,0,"1","Mmrn2"
0,3.82407097321905,0.8,0.046,0,"1","Cldn5"
0,3.78043220478824,0.661,0.029,0,"1","Pcdh12"
0,3.1981938196646,0.92,0.358,0,"2","Acaa1b"
0,3.16631160521132,0.824,0.229,0,"2","Rgn"
0,3.15778534942898,0.374,0.063,0,"2","Gm13775"
0,3.07450862886298,0.323,0.061,0,"2","Fitm1"
2.09540583153532e-146,2.94795986404623,0.296,0.109,4.00934951805967e-142,"2","Csad"
0,7.29643847363781,0.795,0.011,0,"3","Pax5"
0,7.24927737921026,0.964,0.021,0,"3","Ebf1"
0,7.04562927633393,0.697,0.011,0,"3","Fcmr"
0,7.03356824603372,0.8,0.014,0,"3","Ms4a1"
0,6.95036889363862,0.948,0.022,0,"3","Cd79a"
3.33946379197149e-73,2.46006454403742,0.268,0.122,6.38973001955824e-69,"4","Prex2"
1.0369300012667e-49,2.42765703787277,0.254,0.137,1.9840618644237e-45,"4","Wwtr1"
1.0075108823662e-89,2.41319171649726,0.322,0.151,1.92777132231949e-85,"4","Amotl1"
9.39539649545687e-132,2.38995859977413,0.367,0.149,1.79771516544072e-127,"4","Cyyr1"
1.05280835354299e-242,2.38844758498298,0.58,0.238,2.01444350366916e-238,"4","Fabp4"
0,4.67085675412485,0.411,0.02,0,"5","Gpnmb"
0,4.15407202428354,0.621,0.031,0,"5","Trem2"
0,4.00728415295182,0.53,0.025,0,"5","Ms4a7"
0,3.95751378498983,0.442,0.029,0,"5","Slamf8"
0,3.73634715122584,0.677,0.063,0,"5","Cx3cr1"
0,4.93499427802299,0.511,0.044,0,"6","Mup17"
0,4.77358413801639,0.323,0.023,0,"6","Cyp2c37"
0,4.77030515759588,0.448,0.04,0,"6","Cyp2c29"
0,4.67245009485337,0.586,0.043,0,"6","Lect2"
0,4.58280454105217,0.539,0.06,0,"6","Mup11"
0,6.63785700113952,0.284,0.003,0,"7","Nsg2"
0,5.41753311061305,0.548,0.027,0,"7","Lef1"
0,5.18382887648182,0.641,0.03,0,"7","Tcf7"
0,4.75588819515698,0.32,0.014,0,"7","Sidt1"
0,4.37103206952329,0.735,0.073,0,"7","Il7r"
0,2.08535127702346,1,1,0,"8","Gm42418"
1.05811949833958e-217,1.10612317044704,0.976,0.883,2.02460584812296e-213,"8","mt-Nd2"
2.56674136064212e-31,0.967051571038494,0.08,0.279,4.91120291945263e-27,"8","Gm26917"
1.11167917548444e-245,0.950214169624031,0.993,0.959,2.12708693437192e-241,"8","mt-Atp6"
1.18651891572802e-146,0.947022567004392,0.402,0.117,2.27028529335399e-142,"8","Spp1"
0,6.07707043511456,0.523,0.009,0,"9","Atp8a2"
0,5.74922232250034,0.365,0.008,0,"9","Tcrg-C2"
0,5.70849292283636,0.271,0.006,0,"9","Trgv2"
0,5.32512660346278,0.343,0.008,0,"9","Cd40lg"
0,5.09199790854388,0.428,0.015,0,"9","Podnl1"
5.0704248048515e-165,3.84478102447985,0.406,0.086,9.70175082160285e-161,"10","Vsig4"
7.28241616837997e-135,3.49692167943923,0.554,0.199,1.39341750965782e-130,"10","Clec4f"
3.74668188102456e-92,3.47535464586163,0.255,0.056,7.16890111115239e-88,"10","Folr2"
9.52825450342833e-79,3.20291493306025,0.304,0.087,1.82313621668598e-74,"10","Fcna"
1.21540030264298e-76,3.14985496836483,0.299,0.087,2.32554693907708e-72,"10","Il18bp"
0,6.16816519490455,0.554,0.018,0,"11","Ace"
0,6.03288142333687,0.304,0.005,0,"11","Serpinb2"
0,5.4317930375714,0.486,0.019,0,"11","Tppp3"
0,5.09591140096266,0.341,0.011,0,"11","Gm9733"
0,5.03429300160006,0.575,0.03,0,"11","Krt80"
0,8.5309709853475,0.528,0.006,0,"12","Il1f9"
0,8.32545016450849,0.263,0.002,0,"12","Stfa2l1"
0,7.54986648397581,0.574,0.014,0,"12","Hcar2"
0,7.45124194958327,0.731,0.027,0,"12","Acod1"
0,7.44108952356099,0.759,0.024,0,"12","Il1r2"
0,8.11890416214044,0.328,0.001,0,"13","Gpr141b"
0,7.75657202397738,0.309,0.001,0,"13","Gcsam"
0,7.56467682373994,0.465,0.004,0,"13","Xcr1"
0,7.27311423232412,0.355,0.002,0,"13","Sept3"
0,6.67542098057186,0.296,0.003,0,"13","Hist1h3c"
0,6.32979829489578,0.258,0.007,0,"14","Ccl22"
0,5.98477117775058,0.552,0.015,0,"14","Cd209a"
0,4.75951055448665,0.401,0.028,0,"14","Tnfsf9"
0,4.28278394956156,0.572,0.051,0,"14","Tnip3"
0,3.78745075093956,0.587,0.037,0,"14","Flt3"
0,8.77414122232478,0.682,0.003,0,"15","Klk1"
0,8.59753180974937,0.928,0.007,0,"15","Cox6a2"
0,8.52896113874665,0.993,0.017,0,"15","Siglech"
0,8.48575254508624,0.883,0.005,0,"15","Gm21762"
0,8.28699236797702,0.362,0,0,"15","Grm8"
0,10.3735366238119,0.373,0,0,"16","Myo5c"
0,9.62231567982342,0.334,0,0,"16","Dab1"
0,9.22578807452556,0.668,0.001,0,"16","Nipal2"
0,9.12519802263695,0.502,0.001,0,"16","Mtcl1"
0,9.01750175595948,0.446,0,0,"16","A230001M10Rik"
0,9.28900162043958,0.351,0.001,0,"17","Cma1"
0,8.43541426061083,0.823,0.004,0,"17","Ncr1"
0,8.43422655520084,0.4,0.004,0,"17","Klra4"
0,7.79310113652956,0.286,0.002,0,"17","Klra9"
0,7.5691135926173,0.345,0.002,0,"17","Adamts14"
0,6.52749974955811,0.255,0.002,0,"18","Slc1a3"
0,5.71210672812924,0.49,0.004,0,"18","Kcnj16"
0,5.3237192205351,0.624,0.009,0,"18","Slc16a9"
0,5.29027824286108,0.693,0.012,0,"18","Kcna2"
0,5.11137069724331,0.324,0.005,0,"18","Ptgis"
0,7.13772719589231,0.764,0.007,0,"19","Gzmk"
0,6.71972036041118,0.457,0.005,0,"19","Pdcd1"
0,5.71459302782318,0.409,0.011,0,"19","A430093F15Rik"
0,5.5709572234854,0.837,0.03,0,"19","Ctla4"
0,5.5448969162908,0.833,0.033,0,"19","Cd8a"
1.48857765207446e-262,5.64869968526795,0.78,0.079,2.84824447947927e-258,"20","Mug1"
1.87946370362252e-151,5.55211953430822,0.378,0.028,3.59616585051133e-147,"20","Itih1"
2.39596709270099e-186,5.55115453876284,0.957,0.206,4.58444343517407e-182,"20","Apob"
2.92820649873204e-240,5.39539780476559,0.884,0.119,5.60283031467389e-236,"20","Pzp"
9.45205638621216e-191,5.31809744652702,0.707,0.089,1.80855646893784e-186,"20","F2"
0,7.57034132733227,0.301,0.002,0,"21","Bmp4"
0,7.10515934515547,0.285,0.002,0,"21","Wnt9b"
0,6.84999445223147,0.764,0.023,0,"21","Rspo3"
0,6.31308490165046,0.439,0.008,0,"21","Fbln2"
3.29815009523734e-276,5.40272156430019,0.415,0.013,6.31068039222713e-272,"21","Edn1"
8.60697844805328e-176,6.21073807587734,0.287,0.008,1.64685925625051e-171,"22","Pbk"
5.8316097257756e-247,5.91800349683036,0.383,0.01,1.1158202049299e-242,"22","Cdkn3"
3.98987271570873e-138,5.85093295381719,0.33,0.014,7.63422245423708e-134,"22","Cdc20"
3.84118163282642e-102,5.79619196413225,0.255,0.011,7.34971693625007e-98,"22","Hmmr"
6.40796421671362e-118,5.60961796814009,0.266,0.01,1.22609987322598e-113,"22","Ccnb1"
0,10.1877612198401,0.308,0,0,"23","Gpr27"
0,9.71976410005744,0.725,0.01,0,"23","Ltf"
0,9.35506667669647,0.945,0.02,0,"23","Ngp"
0,9.10028611624326,0.879,0.003,0,"23","Ly6g"
0,8.93794060919746,0.703,0.001,0,"23","Itgb2l"
0,8.83343398947687,0.344,0,0,"24","Gja5"
0,8.19171916159715,0.787,0.009,0,"24","Igfbp5"
0,7.64009136305431,0.311,0.001,0,"24","Pdlim3"
0,7.50955053212016,0.541,0.008,0,"24","Nrg1"
0,7.46299837641278,0.803,0.012,0,"24","Vwf"
1.15628633171614e-13,2.75242639631433,0.255,0.041,2.21243826710566e-09,"25","Rhbdd2"
5.66978660145799e-41,2.68981273247807,0.553,0.064,1.08485696832297e-36,"25","Siglecg"
3.9307364465915e-52,2.6220816496209,0.426,0.031,7.52107111690818e-48,"25","Vpreb3"
2.31765646065207e-22,2.59207306746129,0.298,0.034,4.43460387181168e-18,"25","Fcrl1"
1.67881893038893e-21,2.58859069738715,0.277,0.031,3.21225214140617e-17,"25","Ccdc9b"
0,9.86793086133553,0.435,0.001,0,"26","Col6a1"
0,9.77345443459647,0.435,0.001,0,"26","Ms4a4d"
0,9.71585677021015,0.261,0,0,"26","Afap1l2"
0,9.69838509930056,0.304,0,0,"26","Gpc6"
0,9.62946083433543,0.413,0.001,0,"26","Hand2os1"
0,16.4638225829478,0.804,0,0,"27","Fcer1a"
0,11.9590798528432,0.826,0,0,"27","Ms4a2"
0,11.6480042793139,0.978,0.001,0,"27","Cyp11a1"
0,11.3807486828263,0.652,0.001,0,"27","Cpa3"
0,10.9720425849005,0.87,0.001,0,"27","Cd200r3"
